x,y,z
357.0000,470.1076,264.3353
357.0000,469.3595,264.0171
357.0000,468.6144,263.6919
357.0000,467.8873,263.3284
357.0000,467.1990,262.8973
357.0000,466.5078,262.4694
357.0000,465.8632,261.9741
357.0000,465.2463,261.4450
357.0000,464.6711,260.8706
357.0000,464.0924,260.2997
357.0000,463.5707,259.6766
357.0000,463.0569,259.0467
357.0000,462.5788,258.3896
357.0000,462.0815,257.7467
357.0000,461.4781,257.2058
357.0000,460.8317,256.7130
357.0000,460.1459,256.2783
357.0000,459.4157,255.9255
357.0000,458.7137,255.5220
357.0000,458.0690,255.0284
357.0000,457.4505,254.5014
357.0000,456.8315,253.9753
357.0000,456.2522,253.4050
357.0000,455.6457,252.8638
357.0000,455.0648,252.2953
357.0000,454.4588,251.7533
357.0000,453.8720,251.1912
357.0000,453.2542,250.6644
357.0000,452.6541,250.1167
357.0000,452.0736,249.5476
357.0000,451.5063,248.9653
357.0000,450.8915,248.4348
357.0000,450.1857,248.0360
357.0000,449.4188,247.7671
357.0000,448.7056,247.3798
357.0000,448.0482,246.9032
357.0000,447.4155,246.3935
357.0000,446.8153,245.8450
357.0000,446.1951,245.3196
357.0000,445.5903,244.7766
357.0000,444.9855,244.2332
357.0000,444.3608,243.7142
357.0000,443.7490,243.1812
357.0000,443.0950,242.7008
357.0000,442.4464,242.2109
357.0000,441.8270,241.6850
357.0000,441.1876,241.1850
357.0000,440.5626,240.6666
357.0000,439.9651,240.1160
357.0000,439.3985,239.5348
357.0000,438.8069,238.9798
357.0000,438.1782,238.4643
357.0000,437.5540,237.9445
357.0000,436.8927,237.4721
357.0000,436.2074,237.0347
357.0000,435.5406,236.5704
357.0000,434.8912,236.0811
357.0000,434.2751,235.5508
357.0000,433.6753,235.0021
357.0000,433.0867,234.4413
357.0000,432.5031,233.8757
357.0000,431.9549,233.2754
357.0000,431.3884,232.6927
357.0000,430.8193,232.1126
357.0000,430.2448,231.5374
357.0000,429.6380,230.9964
357.0000,429.0036,230.4886
357.0000,428.3803,229.9668
357.0000,427.7621,229.4389
357.0000,427.1331,228.9239
357.0000,426.4817,228.4378
357.0000,425.8506,227.9252
357.0000,425.2049,227.4322
357.0000,424.5609,226.9366
357.0000,423.9148,226.4443
357.0000,423.2776,225.9396
357.0000,422.6330,225.4450
357.0000,422.0090,224.9239
357.0000,421.4194,224.3644
357.0000,420.7981,223.8403
357.0000,420.1717,223.3220
357.0000,419.5207,222.8351
357.0000,418.8531,222.3712
357.0000,418.1787,221.9171
357.0000,417.5056,221.4611
357.0000,416.8584,220.9698
355.9796,416.9083,221.0127
354.9766,417.0590,221.1423
354.0083,417.3080,221.3563
353.0882,417.6465,221.6473
352.2250,418.0624,222.0049
351.4219,418.5427,222.4178
350.6782,419.0753,222.8757
349.9908,419.6499,223.3697
349.3557,420.2580,223.8925
348.7683,420.8932,224.4386
348.2243,421.5503,225.0035
347.7196,422.2252,225.5837
347.2507,422.9148,226.1766
346.8143,423.6166,226.7799
346.4078,424.3286,227.3920
346.0286,425.0492,228.0115
345.6745,425.7772,228.6374
345.3439,426.5114,229.2686
