x,y,z
307.0000,569.6325,185.6442
307.0000,570.3764,186.0640
307.0000,571.2135,186.6127
307.0000,572.0413,187.1750
307.0000,572.8520,187.7614
307.0000,573.6486,188.3672
307.0000,574.4364,188.9845
307.0000,575.2147,189.6134
307.0000,575.9734,190.2661
307.0000,576.7281,190.9234
307.0000,577.4791,191.5850
307.0000,578.2281,192.2488
307.0000,578.9760,192.9138
307.0000,579.7133,193.5907
307.0000,580.4470,194.2713
307.0000,581.1764,194.9566
307.0000,581.9133,195.6338
307.0000,582.6507,196.3106
307.0000,583.3887,196.9866
307.0000,584.1141,197.6758
307.0000,584.8239,198.3814
307.0000,585.5226,199.0978
307.0000,586.2086,199.8266
307.0000,586.8919,200.5579
307.0000,587.5633,201.3001
307.0000,588.2070,202.0664
307.0000,588.8336,202.8468
307.0000,589.4642,203.6239
307.0000,590.1146,204.3845
307.0000,590.7861,205.1265
307.0000,591.4784,205.8490
307.0000,592.1901,206.5526
307.0000,592.9090,207.2490
307.0000,593.6533,207.9180
307.0000,594.3858,208.5999
307.0000,595.1219,209.2779
307.0000,595.8665,209.9466
307.0000,596.6079,210.6190
307.0000,597.3433,211.2978
307.0000,598.0802,211.9750
307.0000,598.8123,212.6574
307.0000,599.5581,213.3247
307.0000,600.2969,213.9997
307.0000,601.0202,214.6912
307.0000,601.7175,215.4091
307.0000,602.4046,216.1367
307.0000,603.0762,216.8785
307.0000,603.7242,217.6412
307.0000,604.3674,218.4080
307.0000,604.9798,219.1991
307.0000,605.5768,220.0024
307.0000,606.1772,220.8031
307.0000,606.7643,221.6135
307.0000,607.3536,222.4223
307.0000,607.9695,223.2112
307.0000,608.6000,223.9884
307.0000,609.2444,224.7540
307.0000,609.9010,225.5093
307.0000,610.5815,226.2432
307.0000,611.2831,226.9563
307.0000,612.0131,227.6407
307.0000,612.7689,228.2968
307.0000,613.5515,228.9207
307.0000,614.3350,229.5434
307.0000,615.1196,230.1647
307.0000,615.9057,230.7842
307.0000,616.6666,231.4342
307.0000,617.4226,232.0899
307.0000,618.1763,232.7485
307.0000,618.9231,233.4147
307.0000,619.6657,234.0858
307.0000,620.4048,234.7605
307.0000,621.1305,235.4495
307.0000,621.8307,236.1641
307.0000,622.4958,236.9118
307.0000,623.1574,237.6627
307.0000,623.8255,238.4079
307.0000,624.4937,239.1530
307.0000,625.1643,239.8960
307.0000,625.8380,240.6361
307.0000,626.5158,241.3724
307.0000,627.1990,242.1038
307.0000,627.8812,242.8361
307.0000,628.5625,243.5693
307.0000,629.2452,244.3011
307.0000,629.9294,245.0315
307.0000,630.6235,245.7525
307.0000,631.3197,246.4715
307.0000,632.0258,247.1808
307.0000,632.7320,247.8900
307.0000,633.4386,248.5988
307.0000,634.1452,249.3075
307.0000,634.8432,250.0248
307.0000,635.5394,250.7438
307.0000,636.2268,251.4711
307.0000,636.9076,252.2048
307.0000,637.5777,252.9481
307.0000,638.2366,253.7013
307.0000,638.8589,254.4850
307.0000,639.4432,255.2964
307.0000,639.9562,256.1535
307.0000,640.3479,257.0718
307.0000,640.6880,258.0111
307.0000,641.0821,258.9311
307.0000,641.4718,259.8529
307.0000,641.8580,260.7763
307.0000,642.2450,261.6993
307.0000,642.5897,262.6360
307.0000,642.7271,263.6272
307.0000,642.5548,264.6106
307.0000,642.2745,265.5713
307.0000,642.0141,266.5375
307.0000,641.7785,267.5102
307.0000,641.5341,268.4807
307.0000,641.2810,269.4489
307.0000,641.0014,270.4099
307.0000,640.7147,271.3688
307.0000,640.4235,272.3263
307.0000,640.1616,273.2922
307.0000,639.9137,274.2618
307.0000,639.6535,275.2282
307.0000,639.4061,276.1979
307.0000,639.1760,277.1719
307.0000,638.9413,278.1448
307.0000,638.6956,279.1150
307.0000,638.4467,280.0844
307.0000,638.2325,281.0616
307.0000,638.0091,282.0371
307.0000,637.7400,282.9998
307.0000,637.3492,283.9196
307.0000,636.8777,284.8018
307.0000,636.3392,285.6437
307.0000,635.7206,286.4283
307.0000,635.0243,287.1461
307.0000,634.2648,287.7979
307.0000,633.5115,288.4568
307.0000,632.7422,289.0970
307.0000,631.9290,289.6801
307.0000,631.1156,290.2624
307.0000,630.3965,290.9570
307.0000,629.7001,291.6752
307.0000,628.9156,292.2929
307.0000,628.0137,292.7160
307.0000,627.0915,293.1037
307.0000,626.2067,293.5709
307.0000,625.3594,294.1023
307.0000,624.5278,294.6591
307.0000,623.6967,295.2167
307.0000,622.8583,295.7634
307.0000,622.0064,296.2885
307.0000,621.1321,296.7748
307.0000,620.2189,297.1812
307.0000,619.2861,297.5419
307.0000,618.4564,298.1015
307.0000,617.6728,298.7195
307.0000,617.0012,299.4577
307.0000,616.4050,300.2609
307.0000,615.8805,301.1133
307.0000,615.3775,301.9782
307.0000,614.8939,302.8544
307.0000,614.4821,303.7659
307.0000,614.1026,304.6913
307.0000,613.7867,305.6409
307.0000,613.5263,306.6067
307.0000,613.3032,307.5822
307.0000,613.0604,308.5526
307.0000,612.8012,309.5186
307.0000,612.4194,310.4435
307.0000,612.0506,311.3737
307.0000,611.7463,312.3266
307.0000,611.4792,313.2909
307.0000,611.2349,314.2614
307.0000,611.0395,315.2430
307.0000,610.8514,316.2259
307.0000,610.6754,317.2110
307.0000,610.5353,318.2020
307.0000,610.4048,319.1939
307.0000,610.1781,320.1675
