x,y,z
307.0000,409.6325,265.6442
307.0000,409.9529,265.7974
307.0000,410.3761,266.0638
307.0000,410.7949,266.3374
307.0000,411.2128,266.6122
307.0000,411.6281,266.8910
307.0000,412.0403,267.1744
307.0000,412.4526,267.4577
307.0000,412.8508,267.7605
307.0000,413.2489,268.0633
307.0000,413.6471,268.3661
307.0000,414.0410,268.6744
307.0000,414.4346,268.9831
307.0000,414.8283,269.2917
307.0000,415.2126,269.6117
307.0000,415.5919,269.9379
307.0000,415.9711,270.2641
307.0000,416.3502,270.5904
307.0000,416.7255,270.9211
307.0000,417.1009,271.2518
307.0000,417.4762,271.5824
307.0000,417.8511,271.9136
307.0000,418.2249,272.2460
307.0000,418.5987,272.5784
307.0000,418.9726,272.9108
307.0000,419.3416,273.2484
307.0000,419.7096,273.5873
307.0000,420.0775,273.9262
307.0000,420.4431,274.2676
307.0000,420.8076,274.6102
307.0000,421.1722,274.9527
307.0000,421.5405,275.2912
307.0000,421.9088,275.6296
307.0000,422.2772,275.9680
307.0000,422.6458,276.3062
307.0000,423.0145,276.6443
307.0000,423.3835,276.9819
307.0000,423.7526,277.3196
307.0000,424.1089,277.6707
307.0000,424.4650,278.0220
307.0000,424.8184,278.3760
307.0000,425.1710,278.7308
307.0000,425.5171,279.0919
307.0000,425.8602,279.4559
307.0000,426.2028,279.8204
307.0000,426.5446,280.1857
307.0000,426.8859,280.5513
307.0000,427.2215,280.9223
307.0000,427.5571,281.2933
307.0000,427.8799,281.6753
307.0000,428.2008,282.0590
307.0000,428.5145,282.4486
307.0000,428.8273,282.8390
307.0000,429.1400,283.2294
307.0000,429.4576,283.6159
307.0000,429.7777,284.0003
307.0000,430.1074,284.3764
307.0000,430.4382,284.7517
307.0000,430.7785,285.1183
307.0000,431.1190,285.4847
307.0000,431.4702,285.8409
307.0000,431.8248,286.1937
307.0000,432.1815,286.5443
307.0000,432.5407,286.8925
307.0000,432.8998,287.2407
307.0000,433.2718,287.5751
307.0000,433.6438,287.9095
307.0000,434.0122,288.2479
307.0000,434.3762,288.5909
307.0000,434.7404,288.9339
307.0000,435.1119,289.2688
307.0000,435.4834,289.6038
307.0000,435.8562,289.9374
307.0000,436.2294,290.2704
307.0000,436.5974,290.6093
307.0000,436.9646,290.9490
307.0000,437.3325,291.2879
307.0000,437.7010,291.6261
307.0000,438.0692,291.9648
307.0000,438.4351,292.3058
307.0000,438.8010,292.6469
307.0000,439.1710,292.9835
307.0000,439.5463,293.3142
307.0000,439.9208,293.6458
307.0000,440.2851,293.9886
307.0000,440.6494,294.3313
307.0000,441.0086,294.6793
307.0000,441.3572,295.0381
307.0000,441.7057,295.3970
307.0000,442.0514,295.7585
307.0000,442.3928,296.1241
307.0000,442.7342,296.4897
307.0000,443.0647,296.8650
307.0000,443.3886,297.2462
307.0000,443.7125,297.6273
307.0000,444.0340,298.0106
307.0000,444.3555,298.3939
307.0000,444.6707,298.7821
307.0000,444.9685,299.1839
307.0000,445.2664,299.5858
307.0000,445.5652,299.9869
307.0000,445.8653,300.3872
307.0000,446.1654,300.7874
307.0000,446.4619,301.1902
307.0000,446.7527,301.5972
307.0000,447.0435,302.0042
307.0000,447.3410,302.4062
307.0000,447.6489,302.8005
307.0000,447.9567,303.1948
307.0000,448.2681,303.5862
307.0000,448.5865,303.9720
307.0000,448.9049,304.3578
307.0000,449.2302,304.7377
307.0000,449.5584,305.1152
307.0000,449.8866,305.4927
