x,y,z
100.33,130.19,1
100.33,130.19,1
100.72,130.19,1
100.72,130.19,1
101.1,130.57,1
101.1,130.96,1
101.48,131.35,1
101.48,131.35,1
101.86,132.91,1
102.25,133.69,1
103.01,134.47,1
103.01,134.86,1
103.01,135.25,1
103.4,135.25,1
103.78,135.64,1
104.16,136.03,1
104.16,136.03,1
105.31,137.19,1
105.31,137.58,1
105.69,137.97,1
106.46,138.36,1
106.84,138.36,1
107.61,139.14,1
107.61,139.53,1
107.99,139.92,1
109.14,140.7,1
109.14,141.09,1
110.67,142.65,1
110.67,143.04,1
110.67,143.04,1
111.06,143.43,1
111.82,144.2,1
112.21,144.2,1
112.21,144.98,1
112.97,144.98,1
114.5,146.15,1
114.5,146.54,1
114.89,146.54,1
114.89,146.93,1
115.27,147.32,1
116.04,147.32,1
116.04,147.71,1
116.42,147.71,1
117.57,148.1,1
118.33,148.49,1
119.48,148.88,1
119.87,148.88,1
119.87,148.88,1
120.63,149.27,1
121.4,150.05,1
122.17,151.21,1
122.55,151.6,1
122.93,151.6,1
123.31,152.38,1
123.7,152.77,1
124.08,153.55,1
124.08,153.55,1
124.46,154.33,1
124.85,155.11,1
125.23,155.5,1
125.61,155.89,1
126.38,157.06,1
126.38,157.44,1
126.38,157.44,1
126.38,157.44,1
126.76,157.83,1
127.14,157.83,1
127.14,158.22,1
127.53,158.61,1
127.53,158.61,1
130.59,160.95,1
130.59,161.34,1
130.98,161.34,1
131.74,162.9,1
132.12,163.29,1
132.51,163.68,1
132.89,164.45,1
135.95,166.79,1
136.34,167.18,1
136.34,167.18,1
137.1,168.35,1
137.49,168.74,1
138.25,169.91,1
139.02,170.68,1
139.4,171.07,1
139.79,171.46,1
139.79,171.85,1
140.17,171.85,1
140.93,172.24,1
141.7,173.02,1
142.47,173.8,1
142.85,174.19,1
143.23,174.19,1
143.23,174.19,1
145.15,174.97,1
146.3,175.75,1
146.68,175.75,1
147.45,176.14,1
148.21,176.92,1
149.36,177.3,1
150.51,178.47,1
150.89,179.25,1
152.43,180.03,1
152.81,181.2,1
153.19,181.2,1
153.57,181.98,1
154.34,183.15,1
155.11,184.31,1
155.87,184.7,1
156.64,185.48,1
156.64,185.87,1
156.64,186.26,1
157.4,186.65,1
158.17,186.65,1
158.55,187.04,1
159.32,187.43,1
160.47,188.21,1
160.85,188.6,1
161.62,189.38,1
162.77,189.38,1
163.53,190.55,1
164.3,191.32,1
165.45,192.1,1
165.83,192.49,1
166.6,193.27,1
166.98,194.05,1
167.75,195.22,1
168.51,196.0,1
168.9,196.78,1
169.28,196.78,1
169.28,197.17,1
169.28,197.17,1
169.28,197.55,1
169.66,198.33,1
170.04,198.33,1
171.19,199.5,1
171.96,199.89,1
172.34,199.89,1
173.11,200.67,1
173.49,200.67,1
174.26,201.06,1
175.02,201.06,1
175.02,201.45,1
175.41,201.84,1
175.79,201.84,1
175.79,201.84,1
176.17,201.84,1
176.56,202.23,1
176.56,202.23,1
176.94,202.23,1
178.09,202.23,1
178.47,202.23,1
179.62,202.23,1
179.62,202.23,1
180.0,202.23,1
181.92,202.62,1
182.3,202.62,1
183.07,202.62,1
184.22,202.62,1
184.22,202.62,1
184.6,202.62,1
184.6,202.62,1
185.75,202.62,1
185.75,202.62,1
186.9,202.23,1
187.28,201.84,1
188.81,201.84,1
189.58,201.84,1
189.96,201.84,1
191.11,201.06,1
192.26,200.67,1
192.26,200.28,1
192.64,200.28,1
193.79,199.89,1
194.56,199.89,1
194.56,199.5,1
195.33,199.5,1
195.71,199.5,1
196.47,199.5,1
196.47,199.5,1
196.86,199.11,1
197.24,199.11,1
198.01,198.72,1
198.01,198.33,1
198.39,198.33,1
198.39,198.33,1
199.16,198.33,1
200.3,198.33,1
200.69,197.94,1
201.07,197.94,1
201.45,197.94,1
201.84,197.55,1
202.22,197.55,1
202.6,197.55,1
202.6,197.55,1
202.6,197.55,1
202.99,197.17,1
202.99,197.17,1
203.75,197.17,1
204.14,196.78,1
204.52,196.78,1
204.9,196.78,1
205.28,196.78,1
205.28,196.39,1
206.05,195.22,1
206.43,195.22,1
207.2,194.44,1
207.2,194.44,1
207.58,194.05,1
207.97,192.88,1
208.35,192.49,1
208.73,192.1,1
209.5,191.32,1
209.88,191.32,1
209.88,190.93,1
209.88,190.93,1
210.26,190.55,1
210.26,190.55,1
210.26,190.16,1
211.03,188.99,1
211.41,188.6,1
211.8,187.82,1
211.8,187.82,1
211.8,187.43,1
212.18,186.65,1
212.18,186.26,1
212.18,185.87,1
212.56,185.48,1
212.95,183.93,1
213.33,183.54,1
213.33,183.15,1
214.09,181.98,1
214.48,181.2,1
215.24,180.42,1
215.24,180.03,1
216.01,179.25,1
216.39,179.25,1
216.39,178.47,1
217.16,178.08,1
217.54,177.69,1
217.92,176.53,1
218.31,176.14,1
219.07,175.36,1
219.07,175.36,1
219.46,174.97,1
219.84,174.97,1
220.22,174.97,1
220.22,174.97,1
220.61,174.97,1
220.99,174.97,1
221.37,174.97,1
222.52,174.58,1
222.9,174.58,1
223.29,174.19,1
224.44,173.41,1
225.2,172.63,1
226.35,172.63,1
227.5,172.63,1
228.27,172.24,1
229.42,171.85,1
229.42,171.46,1
230.56,170.68,1
231.71,170.3,1
231.71,169.91,1
232.48,169.91,1
232.48,169.91,1
232.86,169.91,1
233.25,169.91,1
233.25,169.91,1
233.63,169.91,1
234.01,169.91,1
234.4,169.91,1
234.78,169.52,1
235.54,169.52,1
235.54,169.52,1
236.69,168.74,1
237.08,168.74,1
237.08,168.74,1
237.84,168.35,1
238.23,168.35,1
238.23,167.96,1
238.61,167.96,1
238.99,167.96,1
239.37,167.18,1
239.76,167.18,1
240.14,166.79,1
240.52,166.79,1
240.91,166.79,1
241.67,166.4,1
241.67,166.4,1
242.44,166.01,1
242.44,165.23,1
243.21,165.23,1
243.59,165.23,1
243.97,164.84,1
244.74,164.45,1
245.89,164.06,1
