x,y,z
164.3,181.2,1
164.3,180.81,1
164.3,180.81,1
163.92,180.42,1
163.92,180.03,1
163.92,180.03,1
163.53,179.64,1
163.53,179.25,1
163.53,179.25,1
163.53,178.86,1
163.15,178.86,1
162.77,178.08,1
162.77,178.08,1
162.77,177.69,1
162.38,177.3,1
162.0,176.92,1
161.24,176.14,1
161.24,175.75,1
160.85,175.75,1
160.47,174.97,1
160.09,174.97,1
160.09,174.58,1
159.32,174.19,1
158.94,174.19,1
158.94,174.19,1
158.94,174.19,1
158.55,173.8,1
158.17,173.41,1
158.17,173.02,1
157.4,173.02,1
157.4,172.63,1
157.02,172.24,1
157.02,172.24,1
156.64,172.24,1
156.64,171.85,1
156.64,171.85,1
156.64,171.46,1
156.26,171.07,1
156.26,170.68,1
156.26,170.68,1
155.87,170.3,1
155.49,170.3,1
155.49,169.91,1
155.49,169.52,1
155.49,169.52,1
155.49,169.52,1
155.11,169.13,1
155.11,169.13,1
155.11,169.13,1
154.72,168.74,1
154.34,168.35,1
153.96,167.96,1
153.57,167.57,1
153.57,167.18,1
153.19,166.79,1
152.81,166.79,1
152.43,166.01,1
152.04,166.01,1
152.04,165.62,1
152.04,165.62,1
151.66,165.62,1
151.66,165.23,1
151.28,165.23,1
151.28,164.84,1
150.89,164.45,1
150.51,164.45,1
150.51,164.06,1
150.51,163.68,1
150.13,163.68,1
149.74,163.29,1
149.74,163.29,1
149.36,162.9,1
148.98,162.51,1
148.98,162.12,1
148.59,162.12,1
148.59,162.12,1
148.21,162.12,1
148.21,161.73,1
148.21,161.73,1
148.21,161.34,1
148.21,161.34,1
147.83,160.95,1
147.83,160.56,1
147.83,160.56,1
147.83,160.17,1
147.83,160.17,1
147.45,160.17,1
147.45,159.78,1
147.06,159.39,1
147.06,159.0,1
147.06,159.0,1
146.68,159.0,1
146.3,158.22,1
145.91,158.22,1
145.91,157.83,1
145.53,157.44,1
145.53,157.06,1
144.76,156.67,1
144.38,156.28,1
144.38,155.89,1
144.0,155.89,1
144.0,155.89,1
144.0,155.89,1
144.0,155.5,1
143.62,155.11,1
143.23,154.72,1
142.85,154.33,1
142.47,153.94,1
142.47,153.94,1
142.47,153.94,1
142.47,153.55,1
142.08,153.55,1
141.7,152.77,1
141.32,152.38,1
141.32,151.99,1
140.93,151.99,1
140.93,151.6,1
140.55,151.6,1
140.55,151.6,1
140.55,151.6,1
140.17,151.21,1
140.17,150.82,1
139.79,150.44,1
139.79,150.44,1
139.02,150.05,1
138.64,149.27,1
138.25,149.27,1
138.25,148.88,1
138.25,148.88,1
137.87,148.88,1
137.87,148.49,1
137.87,148.49,1
137.49,147.71,1
137.1,147.32,1
137.1,146.93,1
136.72,146.93,1
136.34,146.54,1
136.34,146.15,1
136.34,145.76,1
135.95,145.76,1
135.57,145.37,1
135.19,144.98,1
134.81,144.59,1
134.42,144.2,1
134.42,143.81,1
134.04,143.43,1
133.66,143.43,1
133.27,143.04,1
132.89,142.65,1
132.89,142.26,1
132.51,142.26,1
132.51,142.26,1
132.12,141.87,1
131.74,141.48,1
130.98,140.7,1
130.59,140.31,1
130.21,139.92,1
129.83,139.53,1
129.83,139.14,1
129.83,139.14,1
129.44,138.36,1
129.06,138.36,1
129.06,137.97,1
128.68,137.58,1
128.29,137.58,1
128.29,137.19,1
127.91,137.19,1
127.91,136.81,1
127.53,136.81,1
127.53,136.42,1
127.53,136.03,1
127.14,135.64,1
126.76,135.25,1
126.38,134.86,1
126.0,134.47,1
126.0,134.08,1
125.61,133.69,1
125.23,133.3,1
124.85,132.91,1
124.46,132.91,1
124.08,132.52,1
124.08,131.74,1
123.7,131.35,1
123.31,131.35,1
123.31,130.96,1
123.31,130.96,1
122.93,130.96,1
122.55,130.19,1
122.17,129.8,1
122.17,129.41,1
121.78,129.02,1
121.4,128.63,1
121.4,128.24,1
121.4,128.24,1
121.4,128.24,1
121.02,128.24,1
121.02,127.85,1
121.02,127.85,0
169.28,183.93,1
169.28,183.93,1
170.04,183.93,1
170.43,183.93,1
170.43,183.93,1
171.58,183.93,1
171.96,183.93,1
171.96,183.93,1
172.73,183.93,1
172.73,183.93,1
173.49,183.93,1
173.88,183.93,1
174.26,183.93,1
175.02,183.93,1
175.41,183.93,1
175.79,183.93,1
176.56,183.54,1
177.32,183.54,1
177.71,183.54,1
178.09,183.54,1
178.47,183.54,1
178.85,183.54,1
179.24,183.54,1
179.24,183.54,1
180.0,183.15,1
181.15,183.15,1
181.54,183.15,1
181.54,183.15,1
181.92,183.15,1
182.3,183.15,1
182.69,183.15,1
183.07,183.15,1
183.45,183.15,1
184.22,183.15,1
184.6,183.15,1
184.98,183.15,1
185.75,183.15,1
186.13,183.15,1
186.52,183.15,1
186.9,183.15,1
186.9,183.15,1
187.28,183.15,1
187.66,183.15,1
188.05,183.15,1
188.81,183.15,1
189.2,183.15,1
189.2,183.15,1
189.96,183.15,1
190.35,183.15,1
190.73,183.15,1
191.5,182.76,1
191.5,182.76,1
192.64,182.76,1
193.03,182.76,1
193.41,182.76,1
193.79,182.76,1
194.18,182.76,1
194.56,182.76,1
194.94,182.76,1
194.94,182.76,1
195.33,182.76,1
195.33,182.76,1
195.71,182.76,1
195.71,182.76,1
196.09,182.76,1
196.09,182.76,1
196.47,182.76,1
196.86,182.76,1
196.86,182.76,1
197.24,182.37,1
197.24,182.37,1
197.62,182.37,1
198.01,182.37,1
198.01,182.37,1
198.77,182.37,1
198.77,182.37,1
199.16,182.37,1
199.16,182.37,1
199.54,182.37,1
199.54,182.37,1
199.54,182.37,1
199.54,182.37,1
199.54,181.2,1
199.54,180.81,1
199.54,180.42,1
199.16,180.03,1
198.77,179.64,1
198.39,179.25,1
197.62,178.47,1
196.86,178.08,1
196.86,177.69,1
196.09,177.3,1
195.71,176.92,1
195.71,176.92,1
194.94,176.53,1
194.56,176.14,1
194.18,175.75,1
194.18,175.36,1
193.03,174.58,1
193.03,174.19,1
192.64,173.8,1
192.26,173.8,1
192.26,173.41,1
192.26,173.02,1
191.88,172.63,1
191.88,172.63,1
191.5,172.63,1
191.5,172.24,1
191.5,171.85,1
191.5,171.46,1
191.11,171.46,1
191.11,171.46,1
190.73,171.07,1
190.73,170.68,1
190.35,170.3,1
189.96,169.52,1
189.58,169.52,1
189.58,169.13,1
189.58,169.13,0
167.75,179.25,1
167.75,179.64,1
168.13,179.64,1
168.9,179.64,1
170.43,179.64,1
170.81,179.64,1
171.19,179.64,1
171.96,179.64,1
173.49,179.64,1
173.88,179.64,1
175.02,179.64,1
175.41,179.64,1
176.17,180.03,1
176.56,180.03,1
176.56,180.03,1
176.94,180.03,1
177.32,180.03,1
177.71,179.64,1
178.09,179.64,1
178.09,179.25,1
178.47,179.25,1
179.62,178.86,1
180.39,178.86,1
180.39,178.47,1
180.39,178.47,1
181.15,178.47,1
181.54,178.47,1
181.92,178.08,1
182.3,178.08,1
182.3,178.08,1
182.69,178.08,1
182.69,178.08,1
182.69,177.69,1
183.07,177.69,1
183.45,177.69,1
183.45,177.69,1
183.83,177.69,1
184.22,177.3,1
184.6,176.92,1
184.98,176.53,1
185.37,176.53,1
185.75,176.53,1
186.13,176.53,1
186.13,176.14,1
186.13,175.75,1
186.13,175.75,1
186.13,174.97,1
186.52,174.58,1
