x,y,z
101.64,129.61,1
101.64,129.61,1
101.64,129.61,1
101.64,129.61,1
101.64,129.79,1
101.79,129.79,1
102.24,130.69,1
102.69,131.42,1
103.44,132.33,1
104.19,133.42,1
105.69,135.42,1
106.29,136.14,1
107.78,137.78,1
109.13,139.05,1
110.03,140.14,1
111.38,141.59,1
111.82,142.13,1
112.42,142.86,1
113.17,143.59,1
114.07,144.49,1
114.97,145.4,1
115.72,146.13,1
116.32,146.67,1
117.51,147.76,1
117.96,148.13,1
118.86,148.85,1
119.61,149.58,1
120.06,149.76,1
120.51,150.12,1
120.96,150.67,1
122.75,152.3,1
123.35,153.03,1
124.4,154.12,1
124.85,154.66,1
125.6,155.57,1
126.34,156.3,1
126.94,157.02,1
127.99,157.93,1
128.74,159.02,1
129.64,159.75,1
130.84,161.2,1
131.58,161.93,1
132.48,162.83,1
133.08,163.38,1
135.33,165.01,1
136.08,165.56,1
136.67,166.1,1
137.87,167.01,1
139.52,168.28,1
140.87,169.19,1
141.61,169.92,1
142.66,170.82,1
143.56,172.09,1
144.16,172.64,1
145.21,173.91,1
145.96,174.82,1
146.7,175.73,1
147.75,177.0,1
148.95,178.63,1
150.0,179.72,1
151.19,180.81,1
152.24,181.72,1
152.99,182.63,1
153.14,182.81,1
153.44,182.99,1
154.79,184.08,1
155.84,184.99,1
157.63,186.8,1
158.68,187.71,1
159.43,188.44,1
160.48,189.53,1
163.02,191.89,1
163.92,192.61,1
165.12,193.7,1
166.16,194.97,1
169.16,198.06,1
170.21,198.97,1
171.1,199.33,1
171.85,199.69,1
172.45,199.88,1
173.05,200.06,1
174.85,201.15,1
175.45,201.33,1
176.94,202.05,1
177.69,202.24,1
178.89,202.6,1
179.34,202.6,1
179.49,202.78,1
179.94,202.78,1
180.39,202.6,1
181.28,202.24,1
181.43,202.24,1
182.48,202.05,1
183.23,201.87,1
183.98,201.69,1
185.03,201.33,1
186.22,201.15,1
188.02,200.6,1
188.62,200.24,1
189.67,200.06,1
190.12,199.88,1
191.16,199.69,1
192.51,199.33,1
193.86,199.15,1
194.61,198.79,1
195.8,198.42,1
196.85,198.24,1
197.15,198.24,1
197.6,198.06,1
198.2,197.88,1
200.0,197.51,1
200.45,197.33,1
201.19,196.61,1
201.79,196.06,1
203.14,195.15,1
204.04,194.25,1
204.49,193.52,1
205.09,192.61,1
205.68,191.89,1
205.98,191.52,1
206.13,191.16,1
206.58,190.8,1
207.03,190.25,1
207.63,189.71,1
207.78,189.53,1
208.08,189.34,1
208.38,188.8,1
208.98,187.89,1
209.28,186.98,1
209.43,186.26,1
209.58,185.71,1
209.88,184.99,1
211.07,184.44,1
211.37,183.9,1
211.67,183.35,1
212.42,181.72,1
213.02,180.27,1
213.47,179.54,1
213.92,178.99,1
213.92,178.99,1
214.22,178.45,1
214.82,177.54,1
215.71,176.45,1
218.11,175.0,1
218.26,174.82,1
220.65,174.27,1
222.6,173.73,1
223.35,173.37,1
223.65,173.18,1
224.7,173.0,1
225.44,172.82,1
225.74,172.82,1
226.04,172.64,1
226.49,172.46,1
226.49,172.46,1
229.04,171.37,1
230.38,170.82,1
231.73,170.82,1
233.38,170.82,1
234.43,170.64,1
235.17,170.46,1
235.92,170.28,1
236.52,169.92,1
237.27,169.73,1
239.07,169.01,1
239.82,168.83,1
240.86,168.28,1
241.76,167.74,1
242.81,167.19,1
243.56,166.65,1
244.31,165.92,1
245.65,165.01,1
245.95,164.65,1
246.55,164.1,1
247.3,163.56,1
248.5,163.02,1
249.1,162.65,1
249.1,162.47,1
249.7,161.93,1
250.29,161.38,1
250.44,160.84,1
250.74,159.57,1
250.89,158.29,1
250.89,156.84,1
250.29,154.84,1
249.55,152.48,1
248.35,150.31,1
247.0,148.67,1
244.76,147.22,1
242.36,145.95,1
240.41,145.04,1
238.17,144.31,1
236.82,143.95,1
235.77,143.59,1
234.73,143.04,1
232.93,142.5,1
231.13,141.59,1
229.79,140.86,1
228.29,140.32,1
226.79,139.77,1
224.85,139.05,1
223.8,138.68,1
222.3,138.14,1
219.46,137.05,1
217.66,136.32,1
216.46,135.96,1
214.97,135.42,1
213.17,135.05,1
210.47,134.69,1
208.83,134.69,1
207.33,134.69,1
205.53,134.51,1
204.04,134.33,1
202.69,134.14,1
201.49,133.96,1
200.59,133.96,1
199.7,133.78,1
197.15,133.06,1
196.1,133.06,1
194.31,132.69,1
193.26,132.51,1
192.51,132.33,1
189.97,132.33,1
188.02,131.78,1
186.07,131.06,1
184.43,130.88,1
182.33,130.51,1
181.13,130.51,1
179.64,130.33,1
178.29,130.33,1
176.19,130.15,1
175.45,130.15,1
174.55,130.15,1
173.35,130.15,1
171.55,130.15,1
170.06,129.97,1
168.86,129.79,1
167.66,129.79,1
165.86,129.79,1
165.27,129.79,1
164.22,129.79,1
163.47,129.79,1
162.42,129.97,1
161.37,129.97,1
160.33,129.97,1
158.83,129.79,1
157.33,129.24,1
156.73,129.24,1
155.69,129.24,1
154.19,129.24,1
153.44,129.06,1
152.24,128.88,1
151.49,128.88,1
150.75,128.7,1
149.85,128.52,1
149.55,128.52,1
149.55,128.52,1
149.55,128.52,1
149.7,128.33,1
149.85,128.15,1
150.0,127.79,1
150.45,127.43,1
150.6,127.43,1
151.19,127.43,1
151.64,127.61,1
152.24,127.79,1
152.69,127.79,1
153.44,127.97,1
154.49,128.33,1
155.54,128.52,1
156.43,128.52,1
157.18,128.33,1
158.53,128.15,1
159.58,128.15,1
161.52,128.15,1
163.32,128.33,1
164.52,128.33,1
166.16,128.33,1
167.51,128.33,1
168.86,128.33,1
170.95,128.33,1
173.05,128.7,1
175.45,129.06,1
177.84,129.24,1
179.79,129.24,1
180.68,129.24,1
182.78,129.24,1
183.98,129.24,1
185.48,129.24,1
186.52,129.24,1
187.12,129.24,1
188.62,129.24,1
190.27,129.42,1
191.01,129.42,1
192.06,129.42,1
193.26,129.42,1
194.91,129.61,1
196.25,129.79,1
197.45,129.79,1
198.5,129.79,1
199.55,129.79,1
200.74,129.61,1
202.54,129.61,1
204.34,129.61,1
205.39,129.79,1
206.13,129.79,1
207.18,129.79,1
208.68,129.97,1
209.88,129.97,1
211.07,130.15,1
213.32,130.33,1
215.71,130.69,1
217.66,130.69,1
219.61,130.88,1
220.06,130.88,1
221.4,130.88,1
223.05,130.88,1
