x,y,z
287.0000,557.1509,175.3601
287.0000,555.2351,174.4965
287.0000,553.4478,173.4077
287.0000,551.8069,172.1017
287.0000,550.4471,170.5181
287.0000,549.1208,168.9112
287.0000,547.5807,167.5577
287.0000,545.7738,166.5071
287.0000,544.1662,165.2172
287.0000,542.5770,163.8429
287.0000,541.1054,162.3589
287.0000,539.5166,160.9949
287.0000,538.0560,159.4960
287.0000,536.1752,158.6598
287.0000,534.4872,157.4326
287.0000,532.8777,156.0867
287.0000,531.3220,154.6901
287.0000,529.7223,153.3312
287.0000,528.0223,152.1027
287.0000,526.4782,150.6885
287.0000,525.0124,149.1881
287.0000,523.2389,148.0755
287.0000,521.5858,146.7900
287.0000,520.0358,145.3736
287.0000,518.5701,143.8738
287.0000,517.1227,142.3515
287.0000,515.5258,140.9891
287.0000,513.8161,139.7855
287.0000,512.2359,138.4411
287.0000,510.5133,137.2403
287.0000,508.9579,135.8306
287.0000,507.3339,134.5038
287.0000,505.6907,133.2005
287.0000,503.9763,132.0159
285.9808,504.0259,132.0586
284.9788,504.1761,132.1878
284.0113,504.4241,132.4012
283.0919,504.7614,132.6914
282.2290,505.1759,133.0481
281.4261,505.6548,133.4601
280.6824,506.1859,133.9171
279.9950,506.7589,134.4102
279.3597,507.3657,134.9323
278.7721,507.9994,135.4776
278.2278,508.6551,136.0418
277.7229,509.3286,136.6214
277.2538,510.0169,137.2136
276.8172,510.7173,137.8163
276.4104,511.4280,138.4278
276.0310,512.1473,139.0468
275.6767,512.8740,139.6721
275.3459,513.6070,140.3028
275.0367,514.3454,140.9382
274.7478,515.0886,141.5776
274.4780,515.8358,142.2206
274.2260,516.5866,142.8666
273.9910,517.3406,143.5154
273.7720,518.0973,144.1665
273.5684,518.8565,144.8198
273.3793,519.6178,145.4749
273.2042,520.3811,146.1316
273.0425,521.1461,146.7899
272.8938,521.9126,147.4494
272.7577,522.6804,148.1101
272.6337,523.4494,148.7718
272.5215,524.2194,149.4344
272.4208,524.9904,150.0978
272.3313,525.7621,150.7618
272.2529,526.5346,151.4265
272.1853,527.3076,152.0917
272.1284,528.0811,152.7573
272.0821,528.8551,153.4232
272.0461,529.6293,154.0894
272.0205,530.4038,154.7558
272.0051,531.1784,155.4224
272.0000,531.9531,156.0890
272.0051,532.7279,156.7556
272.0205,533.5025,157.4222
272.0461,534.2770,158.0886
272.0821,535.0512,158.7548
272.1284,535.8252,159.4207
272.1853,536.5987,160.0863
272.2529,537.3717,160.7515
272.3313,538.1442,161.4161
272.4208,538.9159,162.0802
272.5215,539.6869,162.7436
272.6337,540.4569,163.4062
272.7577,541.2259,164.0679
272.8938,541.9937,164.7286
273.0425,542.7602,165.3881
273.2042,543.5252,166.0463
273.3793,544.2885,166.7031
273.5684,545.0498,167.3582
273.7720,545.8090,168.0115
273.9910,546.5657,168.6626
274.2260,547.3197,169.3114
274.4780,548.0705,169.9574
274.7478,548.8177,170.6004
275.0367,549.5608,171.2398
275.3459,550.2993,171.8752
275.6767,551.0323,172.5059
276.0310,551.7589,173.1312
276.4104,552.4783,173.7502
276.8172,553.1890,174.3617
277.2538,553.8894,174.9644
277.7229,554.5777,175.5566
278.2278,555.2512,176.1362
278.7721,555.9069,176.7003
279.3597,556.5406,177.2457
279.9950,557.1473,177.7677
280.6824,557.7204,178.2608
281.4261,558.2515,178.7178
282.2290,558.7304,179.1299
283.0919,559.1449,179.4866
284.0113,559.4822,179.7768
284.9788,559.7302,179.9902
285.9808,559.8804,180.1194
287.0000,559.9300,180.1621
287.0000,559.9300,182.3362
287.0000,559.9383,184.5100
287.0000,559.8211,186.6762
287.0000,559.5524,188.8323
287.0000,559.3410,190.9921
287.0000,559.1283,193.1509
287.0000,559.1500,195.3239
