x,y,z
84.24,165.23,1
84.24,165.23,1
84.24,165.23,1
85.78,163.68,1
86.54,163.29,1
86.93,162.51,1
87.31,161.73,1
88.07,160.56,1
88.84,159.78,1
88.84,159.39,1
89.61,158.61,1
90.37,157.44,1
90.76,156.67,1
91.14,155.5,1
91.52,154.72,1
91.91,154.33,1
92.67,153.16,1
93.44,152.38,1
93.82,151.99,1
94.59,150.82,1
95.35,150.05,1
95.74,149.27,1
96.12,148.88,1
96.5,148.49,1
96.88,147.71,1
97.27,147.32,1
97.65,147.32,1
98.03,146.54,1
98.42,146.15,1
98.42,145.76,1
98.42,145.37,1
98.8,144.98,1
99.18,144.59,1
99.57,144.2,1
99.18,144.2,1
98.8,144.98,1
98.8,144.98,0
99.18,164.84,1
99.18,164.84,1
98.8,164.06,1
98.03,162.9,1
96.5,160.95,1
96.12,160.56,1
94.59,159.78,1
93.82,159.39,1
92.67,159.0,1
91.14,157.83,1
90.37,157.44,1
89.99,156.67,1
89.61,156.67,1
88.84,155.89,1
87.69,154.72,1
86.93,153.94,1
86.93,153.55,1
86.16,153.16,1
85.39,151.99,1
84.63,151.21,1
84.24,150.44,1
83.48,150.05,1
83.1,149.66,1
83.1,149.27,1
82.71,148.88,1
82.33,148.49,1
82.33,148.1,1
81.56,147.71,1
81.56,147.32,1
81.18,147.32,1
81.18,147.32,1
81.18,146.93,1
81.18,146.93,0
107.99,164.06,1
107.99,163.68,1
108.38,162.51,1
108.76,160.95,1
108.76,159.78,1
108.76,159.0,1
108.76,158.22,1
108.76,157.44,1
108.76,156.28,1
108.76,155.11,1
108.76,153.94,1
108.76,153.16,1
108.76,152.38,1
109.14,151.99,1
109.91,151.99,1
110.29,151.99,1
111.44,151.99,1
113.36,152.38,1
114.12,152.77,1
114.5,152.77,1
115.27,153.16,1
116.42,154.33,1
117.19,155.5,1
117.57,156.67,1
117.95,157.44,1
118.33,158.22,1
118.33,159.0,1
118.72,159.78,1
118.72,160.17,1
118.72,160.95,1
118.72,160.95,1
118.72,161.34,1
118.72,161.73,1
118.72,162.12,1
118.72,162.51,1
118.72,162.51,1
118.72,162.9,1
118.72,162.9,1
118.72,164.06,1
119.1,164.06,1
119.48,162.51,1
119.48,160.95,1
119.48,159.78,1
119.48,158.61,1
119.48,157.44,1
119.48,156.67,1
119.48,155.5,1
119.48,154.72,1
119.48,154.33,1
119.48,153.55,1
119.1,151.6,1
118.33,149.27,1
117.57,147.32,1
117.19,146.54,1
117.19,145.37,1
116.8,144.59,1
116.42,143.81,1
116.04,142.65,1
115.27,141.87,1
115.27,141.09,1
114.5,139.53,1
113.74,138.36,1
112.97,137.58,1
112.59,136.81,1
111.82,136.03,1
111.82,135.64,1
111.06,134.47,1
110.29,133.69,1
109.53,132.52,1
108.38,131.74,1
107.61,131.35,1
106.84,131.35,1
106.46,131.35,1
105.31,131.35,1
104.55,131.35,1
103.01,131.35,1
102.63,131.35,1
102.25,131.35,1
101.86,131.35,1
101.48,132.13,1
101.48,133.3,1
101.48,134.47,1
101.48,134.86,1
101.48,136.03,1
101.48,136.42,1
101.86,136.81,1
102.25,137.58,1
103.01,138.36,1
103.78,139.53,1
104.16,139.92,1
104.55,140.31,1
104.55,140.7,1
104.55,140.7,0
125.61,162.51,1
125.61,162.51,1
125.61,160.95,1
125.61,160.56,1
125.23,159.0,1
124.85,157.83,1
124.85,156.67,1
124.85,155.89,1
124.46,154.72,1
124.46,153.55,1
124.08,152.38,1
123.7,151.6,1
123.7,150.82,1
123.31,150.05,1
122.93,149.27,1
122.93,148.88,1
122.55,148.49,1
122.55,148.88,1
122.55,151.6,1
122.93,153.55,1
123.31,155.11,1
123.7,155.5,1
123.7,155.89,1
124.46,157.06,1
125.23,158.22,1
125.61,159.0,1
126.76,160.17,1
127.53,160.95,1
128.68,161.73,1
129.44,162.51,1
129.83,163.29,1
130.59,163.68,1
130.98,164.06,1
131.36,164.06,1
132.12,164.06,1
132.12,164.06,1
132.12,163.68,1
132.89,162.51,1
133.27,161.73,1
133.27,160.17,1
133.27,159.0,1
133.27,158.22,1
132.89,156.67,1
132.89,155.89,1
132.89,154.72,1
133.27,152.77,1
133.66,150.82,1
134.42,149.66,1
134.42,149.27,1
135.95,148.88,1
137.87,148.88,1
139.02,148.88,1
139.02,149.27,1
139.02,150.44,1
139.02,150.44,0
147.45,161.73,1
147.45,161.73,1
145.15,161.73,1
144.0,161.73,1
